name,buy,type
 Булгакова Ирина : Источник светлой радости ,"Купили,65,раз",Христианство
" Преподобный Максим Исповедник: Амбигвы. Трудности к Фоме (Ambigua ad Thomam), Трудности к Иоанну (Ambigua ad Iohannem) ","Купили,91,раз",Христианство
" Реза Аслан: Нет бога, кроме Бога. Истоки, эволюция и будущее ислама ","Купили,50,раз",Ислам
 Реза Аслан: Бог. История человечества ,"Купили,50,раз",Религиоведение
 Осипов Алексей Ильич: Что такое счастье? ,"Купили,75,раз",Христианство
 Пфистер Оскар: Христианство и страх. Жизнь без бремени вины и ужаса перед неизвестностью ,"Купили,99,раз",Христианство
" Чемберлен Гастон, Коннер Джекоб: Христос не еврей. Тайна Вифлеемской звезды ","Купили,62,раза",Неожиданные гипотезы
 Мёллер Филипп: Безбожно счастлив. Почему без религии нам жилось бы лучше ,"Купили,115,раз",Религиоведение
 Бахмутский Евгений: Вот твое счастье. Подлинное и нерушимое ,"Купили,195,раз",Христианство
" Толстой Лев Николаевич: Лев Толстой. (Не)запрещенное цензурой. О Боге, религии и церкви ","Купили,112,раз",Религиоведение
 Келлер Тимоти: Прогулки с Богом. От горя к радости ,"Купили,133,раза",Религиоведение
 Библия для детей. 365 историй на каждый день (с грифом РПЦ) ,"Купили,210,раз",Эксмо
 Дорофей Авва: Душеполезные поучения ,"Купили,50,раз",Христианство
 Молитвы о семейном благополучии (сост. Гиппиус А.С.) ,"Купили,75,раз",Эксмо
 Опыт запредельного. Религии мира ,"Купили,50,раз",Религиоведение
 Коран. Перевод смыслов. Новый перевод Э. Кулиева ,"Купили,84,раза",Эксмо
 Архимандрит Спиридон (Кисляков): Нерчинская каторга. Земной ад глазами проповедника ,"Купили,87,раз",Религиоведение
 Торчинов Евгений Алексеевич: Введение в буддизм ,"Купили,99,раз",Буддизм
 Щеголева Екатерина Васильевна: Закон Божий для пожилых ,"Купили,105,раз",Христианство
 Захарова Лариса Александровна: Богослужение и устройство православного храма. Методическое пособие ,"Купили,90,раз",Религиоведение
